episode,episode_steps,highest_score,max_tile
464,233,2836.0,256.0
465,297,3124.0,256.0
466,167,1424.0,128.0
467,479,5044.0,512.0
468,283,2972.0,256.0
469,305,3112.0,256.0
470,251,3200.0,256.0
471,515,5456.0,512.0
472,246,2780.0,256.0
473,298,2900.0,256.0
474,195,2348.0,256.0
475,238,2032.0,128.0
476,195,2220.0,256.0
477,294,3032.0,256.0
478,175,1460.0,128.0
479,274,3036.0,256.0
480,337,2988.0,256.0
481,517,6252.0,512.0
482,558,3004.0,256.0
483,421,4528.0,512.0
484,273,3104.0,256.0
485,315,3208.0,256.0
486,258,3056.0,256.0
487,250,2960.0,256.0
488,244,1432.0,128.0
489,355,5184.0,512.0
490,290,2972.0,256.0
491,441,5416.0,512.0
492,170,1252.0,128.0
493,283,3292.0,256.0
494,451,6000.0,512.0
495,311,2892.0,256.0
496,81,596.0,64.0
497,400,4892.0,512.0
498,259,1280.0,128.0
499,220,2868.0,256.0
500,236,2764.0,256.0
501,296,3044.0,256.0
502,297,3036.0,256.0
503,353,2644.0,256.0
504,380,5580.0,512.0
505,304,3052.0,256.0
506,408,3148.0,256.0
507,283,1952.0,128.0
508,290,2968.0,256.0
509,282,2520.0,256.0
510,352,3136.0,256.0
511,259,2272.0,256.0
512,367,3724.0,256.0
513,357,3168.0,256.0
514,213,1980.0,128.0
515,481,6136.0,512.0
516,325,3508.0,256.0
517,410,5140.0,512.0
518,569,6736.0,512.0
519,434,5400.0,512.0
520,361,2664.0,256.0
521,287,3924.0,256.0
522,387,4308.0,256.0
523,211,2320.0,256.0
524,246,2416.0,256.0
525,406,3448.0,256.0
526,376,5088.0,512.0
527,260,2940.0,256.0
528,169,1388.0,128.0
529,527,5348.0,512.0
530,463,5436.0,512.0
531,570,6952.0,512.0
532,328,3192.0,256.0
533,270,2996.0,256.0
534,264,3060.0,256.0
535,649,6572.0,512.0
536,121,1232.0,128.0
537,386,2708.0,256.0
538,283,2128.0,128.0
539,265,2860.0,256.0
540,257,2692.0,256.0
541,370,4308.0,256.0
542,414,5140.0,512.0
543,257,1868.0,128.0
544,278,3208.0,256.0
545,272,3040.0,256.0
546,267,2976.0,256.0
547,640,6284.0,512.0
548,490,5380.0,512.0
549,451,4656.0,512.0
550,296,3076.0,256.0
551,279,3100.0,256.0
552,363,5216.0,512.0
553,607,6928.0,512.0
554,560,8396.0,512.0
555,118,836.0,64.0
556,286,2808.0,256.0
557,379,4784.0,512.0
558,320,2972.0,256.0
559,274,3320.0,256.0
560,371,3316.0,256.0
561,361,3044.0,256.0
562,387,2996.0,256.0
563,284,2644.0,256.0
564,274,2940.0,256.0
